Protein1,Protein2,Confidence,STRING_Score,Match_Status
YDR114C,TIM9,1.0,0.0,Not in STRING
YDR114C,IMP3,1.0,0.0,Not in STRING
YDR114C,SRP21,1.0,0.0,Not in STRING
TIM9,IMP3,1.0,0.0,Not in STRING
HIS1,LSM5,1.0,0.0,Not in STRING
LYS2,SMD3,1.0,0.0,Not in STRING
LYS2,MIM1,1.0,0.0,Not in STRING
LYS2,RPL36B,1.0,0.0,Not in STRING
ATP16,SMB1,1.0,0.0,Not in STRING
ATP16,TFC7,1.0,0.0,Not in STRING
LYS4,HIS2,1.0,0.0,Not in STRING
SMB1,TFC7,1.0,0.0,Not in STRING
SMD3,MIM1,1.0,0.0,Not in STRING
SMD3,RPL36B,1.0,0.0,Not in STRING
MIM1,RPL36B,1.0,0.0,Not in STRING
"ARG5,6",NOT5,1.0,0.0,Not in STRING
LYS1,NOT5,1.0,0.0,Not in STRING
LYS1,RIB1,1.0,0.0,Not in STRING
NOT5,RIB1,1.0,0.0,Not in STRING
YDR246W-A,VMA16,1.0,0.0,Not in STRING
UBA2,MPS2,1.0,0.0,Not in STRING
TRP5,YRF1-6,1.0,0.0,Not in STRING
FYV6,CPA1,0.9999999403953552,0.0,Not in STRING
FYV6,MNN9,0.9999999403953552,0.0,Not in STRING
CPA1,MNN9,0.9999999403953552,0.0,Not in STRING
IES6,RPL13B,0.9999999403953552,0.0,Not in STRING
IES6,RPL18A,0.9999999403953552,0.0,Not in STRING
CUP1-1,YJR112W-A,0.9999999403953552,0.0,Not in STRING
YNL184C,MSE1,0.9999999403953552,0.0,Not in STRING
ATP16,SRB5,0.999997228384018,0.0,Not in STRING
SMB1,SRB5,0.999997228384018,0.0,Not in STRING
TFC7,SRB5,0.999997228384018,0.0,Not in STRING
ATP16,TRM5,0.9999797344207764,0.0,Not in STRING
SMB1,TRM5,0.9999797344207764,0.0,Not in STRING
TFC7,TRM5,0.9999797344207764,0.0,Not in STRING
GRR1,CNS1,0.9999761283397676,0.0,Not in STRING
OCH1,YLR358C,0.9999749064445496,0.0,Not in STRING
ATP16,AVT2,0.999974250793457,0.0,Not in STRING
SMB1,AVT2,0.999974250793457,0.0,Not in STRING
TFC7,AVT2,0.999974250793457,0.0,Not in STRING
SRB5,TRM5,0.9999668300151824,0.0,Not in STRING
SRB5,AVT2,0.9999652206897736,0.0,Not in STRING
TRM5,AVT2,0.9999613165855408,0.0,Not in STRING
SAM50,CNS1,0.9999506771564484,0.0,Not in STRING
NDD1,MSR1,0.9999463856220244,0.0,Not in STRING
GRR1,OCH1,0.9999441802501678,0.0,Not in STRING
GRR1,SAM50,0.9999441206455232,0.0,Not in STRING
SNP1,RSC30,0.999935120344162,0.0,Not in STRING
TRM5,RSC30,0.999922901391983,0.0,Not in STRING
CNS1,YLR358C,0.999907612800598,0.0,Not in STRING
FLO5,COS3,0.9998660087585448,0.0,Not in STRING
OCH1,SAM50,0.9998643696308136,0.0,Not in STRING
GRR1,YLR358C,0.9998597502708436,0.0,Not in STRING
AVT2,RSC30,0.9998365044593812,0.0,Not in STRING
ATP16,RSC30,0.9998298287391664,0.0,Not in STRING
TFC7,RSC30,0.9998298287391664,0.0,Not in STRING
SRB5,RSC30,0.9997914731502532,0.0,Not in STRING
CUP1-1,SNP1,0.9997591972351074,0.0,Not in STRING
YJR112W-A,SNP1,0.9997591972351074,0.0,Not in STRING
CUP1-1,SAM50,0.9997577369213104,0.0,Not in STRING
YJR112W-A,SAM50,0.9997577369213104,0.0,Not in STRING
SRP14,ERG28,0.9997241199016572,0.0,Not in STRING
ERG28,RPL30,0.9997241199016572,0.0,Not in STRING
SAM50,YLR358C,0.9997234046459198,0.0,Not in STRING
TRM5,SNP1,0.999718815088272,0.0,Not in STRING
SCP160,GCR1,0.9996890127658844,0.0,Not in STRING
FLO5,RPL39,0.9996572732925416,0.0,Not in STRING
GPI8,TRS23,0.9996531307697296,0.0,Not in STRING
YLR358C,MSR1,0.999647706747055,0.0,Not in STRING
YSH1,TOM40,0.9996387362480164,0.0,Not in STRING
RFC4,ALG14,0.9996030926704408,0.0,Not in STRING
COS3,RPL39,0.9995958805084229,0.0,Not in STRING
SNP1,AVT2,0.9995918571949004,0.0,Not in STRING
SSL1,RPT6,0.9995796084403992,0.0,Not in STRING
SCP160,EFR3,0.9995770156383514,0.0,Not in STRING
SRP14,LYS2,0.9995658099651336,0.0,Not in STRING
RPL30,LYS2,0.9995658099651336,0.0,Not in STRING
RPL30,SMD3,0.9995658099651336,0.0,Not in STRING
RPL30,MIM1,0.9995658099651336,0.0,Not in STRING
KAR1,YEL023C,0.999563992023468,0.0,Not in STRING
ATP16,SNP1,0.9995615780353546,0.0,Not in STRING
TFC7,SNP1,0.9995615780353546,0.0,Not in STRING
SDS3,SGF73,0.9995361864566804,0.0,Not in STRING
GRR1,CUP1-1,0.9995283782482148,0.0,Not in STRING
GRR1,YJR112W-A,0.9995283782482148,0.0,Not in STRING
PEP5,MPS2,0.9995070397853852,0.0,Not in STRING
FOL1,YEL023C,0.999502032995224,0.0,Not in STRING
SRB5,SNP1,0.9995006918907166,0.0,Not in STRING
NUD1,RPL39,0.9994981586933136,0.0,Not in STRING
CUP1-1,CNS1,0.9994954466819764,0.0,Not in STRING
YJR112W-A,CNS1,0.9994954466819764,0.0,Not in STRING
DBF4,RPN6,0.9994901418685912,0.0,Not in STRING
NUD1,KAR1,0.9994874596595764,0.0,Not in STRING
SEC63,SSL1,0.9994801878929138,0.0,Not in STRING
NBP2,RPT4,0.9994777739048004,0.0,Not in STRING
NSR1,GCR1,0.9994763731956482,0.0,Not in STRING
TSC11,ALA1,0.9994657635688782,0.0,Not in STRING
YJR112W-A,RSC30,0.999460995197296,0.0,Not in STRING
STE50,VPS41,0.9994472563266754,0.0,Not in STRING
DAL81,EOS1,0.9994297325611116,0.0,Not in STRING
PHO80,RIM20,0.9994202554225922,0.0,Not in STRING
GWT1,SED5,0.9994162619113922,0.0,Not in STRING
GWT1,BET3,0.9994088113307952,0.0,Not in STRING
SAP30,PTI1,0.9994083344936372,0.0,Not in STRING
NUD1,YEL023C,0.9994017779827118,0.0,Not in STRING
MED8,SGT1,0.999399483203888,0.0,Not in STRING
SGF73,ECM33,0.9993965029716492,0.0,Not in STRING
VPS72,VPS38,0.999386727809906,0.0,Not in STRING
PAN1,NEO1,0.9993815124034882,0.0,Not in STRING
SGF73,VPS30,0.9993794560432434,0.0,Not in STRING
NUD1,FLO5,0.9993743002414704,0.0,Not in STRING
SWI6,BTS1,0.9993707537651062,0.0,Not in STRING
MTC1,GPI16,0.9993628561496736,0.0,Not in STRING
SLA1,SDS3,0.9993614256381989,0.0,Not in STRING
GPI10,SED5,0.9993492364883424,0.0,Not in STRING
GPI17,MYO2,0.9993470013141632,0.0,Not in STRING
DPB11,ABD1,0.9993461072444916,0.0,Not in STRING
FOL3,HSH155,0.999345690011978,0.0,Not in STRING
QRI1,PAM16,0.9993425905704498,0.0,Not in STRING
BMH1,DEG1,0.9993377327919006,0.0,Not in STRING
KAR1,FOL3,0.9993294477462769,0.0,Not in STRING
KAR1,FOL1,0.9993294477462769,0.0,Not in STRING
ROK1,YAL067W-A,0.999325066804886,0.0,Not in STRING
NDD1,YLR358C,0.9993237257003784,0.0,Not in STRING
VPS21,UBR2,0.9993045628070832,0.0,Not in STRING
MGA2,BET4,0.999299705028534,0.0,Not in STRING
NUP188,SMC1,0.9992900490760804,0.0,Not in STRING
IES2,DUO1,0.9992783963680268,0.0,Not in STRING
CUP1-1,OCH1,0.9992696642875672,0.0,Not in STRING
YJR112W-A,OCH1,0.9992696642875672,0.0,Not in STRING
LSM1,RSC8,0.999248743057251,0.0,Not in STRING
CFT2,COF1,0.9992476105690002,0.0,Not in STRING
TAD3,RGR1,0.9992472231388092,0.0,Not in STRING
DRS2,YHC1,0.9992452561855316,0.0,Not in STRING
ORM2,AAR2,0.9992450475692748,0.0,Not in STRING
NBP2,BRL1,0.9992447793483734,0.0,Not in STRING
GPI16,MYO2,0.9992404580116272,0.0,Not in STRING
SEC63,RPT6,0.9992395043373108,0.0,Not in STRING
TAF13,LDB18,0.999239444732666,0.0,Not in STRING
SMP3,YIP1,0.9992387890815736,0.0,Not in STRING
CTF8,NMT1,0.9992350339889526,0.0,Not in STRING
DPM1,ARC15,0.999225288629532,0.0,Not in STRING
SPT20,"ARG5,6",0.9992187917232512,0.0,Not in STRING
SPT20,LYS1,0.9992187917232512,0.0,Not in STRING
SPT20,RIB1,0.9992187917232512,0.0,Not in STRING
CKS1,VAN1,0.9992157816886902,0.0,Not in STRING
BEM2,SEC17,0.9992124438285828,0.0,Not in STRING
TOA1,VAN1,0.9992076754570008,0.0,Not in STRING
PTC1,GPI13,0.9992048144340516,0.0,Not in STRING
SDS3,ECM33,0.9992041289806366,0.0,Not in STRING
CSE2,NUP133,0.999203473329544,0.0,Not in STRING
TLG2,GPI16,0.999200850725174,0.0,Not in STRING
ARC15,TOA1,0.9992004334926604,0.0,Not in STRING
CNS1,MSR1,0.999200314283371,0.0,Not in STRING
RPC34,STT3,0.9991993308067322,0.0,Not in STRING
RPN6,QRI1,0.9991908371448516,0.0,Not in STRING
TSC11,NUT2,0.9991882741451265,0.0,Not in STRING
LST8,UBP3,0.9991882145404816,0.0,Not in STRING
SEC27,RPN12,0.9991878569126128,0.0,Not in STRING
NBP2,CEG1,0.9991804361343384,0.0,Not in STRING
ELP2,VAM6,0.999176949262619,0.0,Not in STRING
SDS3,VPS30,0.9991754293441772,0.0,Not in STRING
HCM1,URM1,0.9991693496704102,0.0,Not in STRING
SEC28,BEM1,0.999166578054428,0.0,Not in STRING
UBP3,NSE3,0.9991635978221892,0.0,Not in STRING
RPN12,TOA1,0.9991629421710968,0.0,Not in STRING
ARP6,CDC60,0.9991602301597596,0.0,Not in STRING
RPN5,AAR2,0.999155044555664,0.0,Not in STRING
DBF4,PAM16,0.9991466104984283,0.0,Not in STRING
NSL1,PRE4,0.9991459548473358,0.0,Not in STRING
RPA190,CDC48,0.9991452693939208,0.0,Not in STRING
SEC12,PAM16,0.9991414248943328,0.0,Not in STRING
NSR1,DRE2,0.9991383850574492,0.0,Not in STRING
RTF1,VAM6,0.9991379976272584,0.0,Not in STRING
HRR25,CDC4,0.9991340339183808,0.0,Not in STRING
SAD1,IPL1,0.9991331696510316,0.0,Not in STRING
RPN4,SPT3,0.9991275668144226,0.0,Not in STRING
SWC5,PTC1,0.9991273283958436,0.0,Not in STRING
VPS30,ECM33,0.9991233050823212,0.0,Not in STRING
ORC3,RSE1,0.9991202056407928,0.0,Not in STRING
VPS72,SEC16,0.9991191327571868,0.0,Not in STRING
PRP2,SMC1,0.9991182684898376,0.0,Not in STRING
ARP6,SKY1,0.999116748571396,0.0,Not in STRING
SWC3,SEM1,0.9991134107112885,0.0,Not in STRING
GAS1,SDS3,0.9991106688976288,0.0,Not in STRING
ICE2,LST8,0.9991106688976288,0.0,Not in STRING
NEO1,RPT6,0.99911031126976,0.0,Not in STRING
APC5,CCT4,0.9991062879562378,0.0,Not in STRING
UBP3,RER2,0.9991036355495452,0.0,Not in STRING
GRR1,MSR1,0.9991035163402556,0.0,Not in STRING
GET1,PTI1,0.9990995824337006,0.0,Not in STRING
CTF8,GPI16,0.99909445643425,0.0,Not in STRING
ALG6,TLG2,0.9990909099578856,0.0,Not in STRING
TSC11,EMG1,0.9990836679935456,0.0,Not in STRING
EFR3,GCR1,0.9990810453891754,0.0,Not in STRING
PTI1,LDB18,0.9990804195404052,0.0,Not in STRING
SEC62,SED5,0.9990802705287932,0.0,Not in STRING
SSL1,HRR25,0.9990763068199158,0.0,Not in STRING
PKR1,ELP2,0.9990741908550262,0.0,Not in STRING
EMG1,BRN1,0.9990738034248352,0.0,Not in STRING
GPI8,MCM10,0.9990721940994264,0.0,Not in STRING
SDS3,MNN10,0.9990710318088531,0.0,Not in STRING
TRS23,MCM10,0.9990687668323516,0.0,Not in STRING
SAM50,SNP1,0.999068319797516,0.0,Not in STRING
RPN12,VAN1,0.999062567949295,0.0,Not in STRING
ARV1,RPN4,0.999058872461319,0.0,Not in STRING
YAL067W-A,MRPL7,0.9990583062171936,0.0,Not in STRING
SLA1,SGF73,0.9990567266941072,0.0,Not in STRING
SFL1,YPT7,0.9990526735782624,0.0,Not in STRING
UBP6,CTI6,0.99905064702034,0.0,Not in STRING
MYO2,RDS3,0.9990473985671996,0.0,Not in STRING
EOS1,SSE1,0.9990472793579102,0.0,Not in STRING
SLU7,POL3,0.999045103788376,0.0,Not in STRING
RIC1,PKC1,0.9990445971488952,0.0,Not in STRING
HRR25,SWC4,0.9990440607070924,0.0,Not in STRING
CSE2,UME6,0.9990422427654266,0.0,Not in STRING
NDD1,OCH1,0.999041885137558,0.0,Not in STRING
PRE4,GPN2,0.999041736125946,0.0,Not in STRING
DRS2,RPN6,0.9990401268005372,0.0,Not in STRING
HSL1,UBA4,0.9990390539169312,0.0,Not in STRING
DEP1,DAL81,0.9990362524986268,0.0,Not in STRING
